id,img,label,text,img_exists,Cleaned_Text
42953,img/42953.png,0,its their character not their color that matters,True,its their character not their color that matters
23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,True,don't be afraid to love again everyone is not like your ex
13894,img/13894.png,0,putting bows on your pet,True,putting bows on your pet
82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler",True,"everybody loves chocolate chip cookies, even hitler"
76932,img/76932.png,0,fine you're right. now can we fucking drop it?,True,fine you're right. now can we fucking drop it?
2973,img/02973.png,0,how long can i run? till the chain tightens,True,how long can i run? till the chain tightens
58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",True,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored"
79351,img/79351.png,1,jew mad? get fuhrerious!,True,jew mad? get fuhrerious!
34096,img/34096.png,0,"removes polish with chemicals, nobody bats an eye",True,"removes polish with chemicals, nobody bats an eye"
25489,img/25489.png,1,brother... a day without a blast is a day wasted,True,brother... a day without a blast is a day wasted
79346,img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,True,voting for hillary is like letting casey anthony watch your kids because she's not guilty
97628,img/97628.png,0,"is it ok for your son or daughter to call another man ""daddy?",True,"is it ok for your son or daughter to call another man ""daddy?"
59784,img/59784.png,0,if people reject me because i stand on the truth then i have no problem walking alone,True,if people reject me because i stand on the truth then i have no problem walking alone
2146,img/02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white,True,from the bottom of my heart i would like to sincerely apologize..... for being white
49752,img/49752.png,0,here's to all my friends who never post about politics or religion,True,here's to all my friends who never post about politics or religion
25610,img/25610.png,0,enjoying a day at the beach,True,enjoying a day at the beach
17956,img/17956.png,0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,True,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell
10743,img/10743.png,0,move to new york they said it'll be fun they said,True,move to new york they said it'll be fun they said
76825,img/76825.png,0,two woman walking home together after a nice day out together,True,two woman walking home together after a nice day out together
72598,img/72598.png,0,texas churches be like... pew pew pew,True,texas churches be like... pew pew pew
43078,img/43078.png,0,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky,True,i don't always have a heat stroke and get frostbite in the same week but when i do i know i'm in kentucky
6418,img/06418.png,0,1 bomb every minute,True,1 bomb every minute
